Block,Treat,Rep,Cage,Time,Ini ad,Ini nym,adtot,nymtot,IGR,adtop,nymtop,addist,nymdist,logtop
1,C,1,C1,1,14,61,12,102,2.928571429,0.75,0.803921569,0.416666667,0.147058824,0.477121255
1,C,2,C2,1,13,49,15,121,5.538461538,0.6,0.628099174,0.666666667,0.599173554,0.176091259
1,C,3,C3,1,14,88,14,146,4.142857143,0.785714286,0.794520548,0.357142857,0.034246575,0.564271431
1,C,4,C4,1,14,58,14,134,5.428571429,0.642857143,0.47761194,0,0,0.255272505
1,C,5,C5,1,15,73,15,143,4.666666667,0.666666667,0.517482517,0,0,0.301029996
1,C,6,C6,1,15,79,13,151,4.8,0.538461538,0.271523179,0.961538462,0.033112583,0.066946789
1,LR,1,LR1,1,14,64,14,94,2.142857143,0.857142857,0.734042553,0.178571429,0.053191489,0.77815125
1,LR,2,LR2,1,15,84,12,126,2.8,0.916666667,0.722222222,0.416666667,0.198412698,1.041392687
1,LR,3,LR3,1,15,71,11,116,3,0.636363636,0.612068966,0.454545455,0,0.243038048
1,LR,4,LR4,1,13,57,10,114,4.384615385,1,0.666666667,0.5,0.307017544,1
1,LR,5,LR5,1,15,64,15,144,5.333333333,0.8,0.652777778,0.666666667,0.208333333,0.602059991
1,LR,6,LR6,1,15,88,12,152,4.266666667,0.75,0.526315789,3.333333333,1.875,0.477121255
1,LL,1,LL1,1,13,81,11,111,2.307692308,0.545454545,0.576576577,2.045454545,1.103603604,0.079181245
1,LL,2,LL2,1,15,75,13,136,4.066666667,0.769230769,0.676470588,0.192307692,0.128676471,0.522878745
1,LL,3,LL3,1,15,77,13,131,3.6,0.846153846,0.923664122,1.153846154,0.70610687,0.740362689
1,LL,4,LL4,1,14,72,12,98,1.857142857,0.833333333,0.571428571,4.375,2.525510204,0.698970003
1,LL,5,LL5,1,15,63,14,138,5,0.642857143,0.65942029,1.964285714,1.050724638,0.255272505
1,LL,6,LL6,1,15,64,8,107,2.866666667,0.625,0.401869159,1.875,1.051401869,0.22184875
1,HR,1,HR1,1,15,69,14,144,5,0.714285714,0.680555556,0.357142857,0.434027778,0.397940008
1,HR,2,HR2,1,14,73,14,155,5.857142857,0.857142857,0.683870968,1.25,0.161290323,0.77815125
1,HR,3,HR3,1,14,47,9,107,4.285714286,0.555555556,0.663551402,0.555555556,0.093457944,0.096910014
1,HR,4,HR4,1,14,55,14,122,4.785714286,0.714285714,0.647540984,0,0,0.397940008
1,HR,5,HR5,1,15,79,13,138,3.933333333,0.846153846,0.673913043,0.576923077,0.072463768,0.740362689
1,HR,6,HR6,1,14,64,12,142,5.571428571,0.75,0.725352113,1.875,0.475352113,0.477121255
1,HL,1,HL1,1,15,76,9,96,1.333333333,1,0.875,0.555555556,0.494791667,1
1,HL,2,HL2,1,14,54,6,36,-1.285714286,1,1,0.833333333,0.277777778,1
1,HL,3,HL3,1,13,50,11,88,2.923076923,0.818181818,0.818181818,0.909090909,0.284090909,0.653212513
1,HL,4,HL4,1,15,55,6,54,-0.066666667,1,0.944444444,0.833333333,0.601851852,1
1,HL,5,HL5,1,14,61,13,77,1.142857143,1,0.883116883,3.653846154,3.084415584,1
1,HL,6,HL6,1,16,86,10,76,-0.625,1,1,2.5,1.282894737,1
1,C,1,C1,2,14,61,11,170,12.13235294,0.818181818,0.864705882,0.454545455,0.205882353,0.653212513
