Block,Treat,Rep,risk,lethal,Ini ad,Ini nym,sourcetot,sourcead,sourcenym,offtot,offad,offnym,tottot,totad,totnym,nym.ad,tot.ad,adddist,nymdist,totdist,totinf,avgdistinf,titer,offaddist,offnymdist
1,C,1,0,0,28,19,141,0,141,404,21,383,545,21,524,18.71428571,19.46428571,42.84333333,25.42694517,26.09803536,16,32.971875,2.137951166,42.84333333,40.24181818
1,C,2,0,0,29,12,134,3,131,342,18,324,476,21,455,15.68965517,16.4137931,33.88166667,24.23219136,24.6579035,11,34.89636364,1.406588318,40.658,40.67994819
1,C,3,0,0,26,31,85,1,84,360,18,342,445,19,426,16.38461538,17.11538462,32.04055556,26.52347953,26.75904008,15,35.23866667,2.043810541,33.92529412,35.15903101
1,C,4,0,0,27,15,59,1,58,513,28,485,572,29,543,20.11111111,21.18518519,38.52107143,35.25579381,35.42134111,21,37.11619048,1.300846444,39.94777778,40.044637
1,C,5,0,0,24,25,110,1,109,404,23,381,514,24,490,20.41666667,21.41666667,35.99304348,26.25044619,26.70535346,13,31.06538462,1.95732544,37.62909091,36.76992647
1,C,6,0,0,26,12,118,0,118,393,21,372,511,21,490,18.84615385,19.65384615,39.99809524,27.935,28.43074364,16,37.3925,1.825457411,39.99809524,40.91267717
1,C,7,0,0,26,34,89,2,87,306,20,286,395,22,373,14.34615385,15.19230769,35.3155,27.76702797,28.1874492,12,36.00083333,1.354762512,39.23944444,39.90638191
1,C,8,0,0,30,17,122,1,121,396,26,370,518,27,491,16.36666667,17.26666667,36.21615385,26.13548649,26.66092668,13,37.94692308,1.525131535,37.6648,38.83586345
1,R,1,1,0,23,14,128,0,128,464,19,445,592,19,573,24.91304348,25.73913043,44.62473684,31.52346067,31.94394082,15,35.47666667,1.735688055,44.62473684,44.25217666
1,R,2,1,0,27,17,80,0,80,461,22,439,541,22,519,19.22222222,20.03703704,39.98045455,32.57289294,32.87412465,14,35.745,1.925832774,39.98045455,39.83147632
1,R,3,1,0,26,5,123,0,123,582,27,555,705,27,678,26.07692308,27.11538462,42.95814815,32.01472072,32.43383071,19,36.75157895,4.092751608,42.95814815,41.13002315
1,R,4,1,0,31,32,82,0,82,556,26,530,638,26,612,19.74193548,20.58064516,38.21538462,30.89260377,31.19102431,19,36.55736842,1.350580244,38.21538462,36.54705357
1,R,5,1,0,25,19,146,0,146,517,22,495,663,22,641,25.64,26.52,36.33772727,24.08880808,24.49525789,16,31.785625,1.559959523,36.33772727,34.1660745
1,R,6,1,0,29,26,196,0,196,595,26,569,791,26,765,26.37931034,27.27586207,38.21538462,24.37873462,24.83354233,22,37.67636364,3.342091273,38.21538462,37.18900804
1,R,7,1,0,30,18,103,0,103,360,16,344,463,16,447,14.9,15.43333333,32.74125,23.8355814,24.14333668,14,33.97,0.996579421,32.74125,34.02257261
